id,ActualTime,WatchTimeStamp,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Esense TimeStamp,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense,TimeDifference_ms,TimeDiff_seconds
1,2025-06-20 17:04:47.150,2025-06-20 17:04:47.115,-0.5195417404174805,0.7086837291717529,9.607931137084961,0.0,-0.0012217304902151227,0.0,2025-06-20 17:04:47.075,-1357,2847,8549,52,-12,500,,-0.04
3,2025-06-20 17:04:47.250,2025-06-20 17:04:47.216,-0.5195417404174805,0.7086837291717529,9.607931137084961,0.0,-0.0012217304902151227,0.0,2025-06-20 17:04:47.186,-1860,2559,5375,-4335,6409,6856,,-0.03
5,2025-06-20 17:04:47.364,2025-06-20 17:04:47.306,-0.40940847992897034,0.730231523513794,9.651026725769043,0.0012217304902151227,0.00855211354792118,0.0,2025-06-20 17:04:47.256,751,390,2671,-7929,21221,6086,,-0.05
7,2025-06-20 17:04:47.445,2025-06-20 17:04:47.394,-0.5027823448181152,0.730231523513794,9.586383819580078,-0.00366519158706069,0.00366519158706069,0.0012217304902151227,2025-06-20 17:04:47.371,-3183,-2740,12198,-7058,-3362,-20447,,-0.023
9,2025-06-20 17:04:47.557,2025-06-20 17:04:47.511,-0.4692635238170624,0.6560112833976746,9.567230224609375,0.0012217304902151227,-0.0024434609804302454,0.0,2025-06-20 17:04:47.452,-7281,-6204,10738,-147,-1987,-17300,,-0.059
11,2025-06-20 17:04:47.651,2025-06-20 17:04:47.592,-0.49559974670410156,0.7565677165985107,9.653421401977539,0.0012217304902151227,0.0024434609804302454,0.0,2025-06-20 17:04:47.519,-6442,-6007,6762,-8023,6589,-6268,,-0.073
13,2025-06-20 17:04:47.744,2025-06-20 17:04:47.711,-0.47165772318840027,0.706289529800415,9.607931137084961,-0.00366519158706069,-0.0012217304902151227,0.0,2025-06-20 17:04:47.597,-5666,-6443,7934,-6910,3987,-1458,,-0.114
15,2025-06-20 17:04:47.852,2025-06-20 17:04:47.811,-0.47165772318840027,0.706289529800415,9.607931137084961,-0.00366519158706069,-0.0012217304902151227,0.0,2025-06-20 17:04:47.784,-2029,-6770,5575,4000,-4223,-7262,,-0.027
17,2025-06-20 17:04:47.961,2025-06-20 17:04:47.897,-0.4812345504760742,0.751779317855835,9.682151794433594,-0.0024434609804302454,-0.0024434609804302454,0.0,2025-06-20 17:04:47.869,-1625,-6551,5662,4549,-1488,-9264,,-0.028
19,2025-06-20 17:04:48.046,2025-06-20 17:04:48.006,-0.4812345504760742,0.751779317855835,9.682151794433594,-0.0024434609804302454,-0.0024434609804302454,0.0,2025-06-20 17:04:47.979,-2682,1978,7462,-2566,3191,-15044,,-0.027
21,2025-06-20 17:04:48.155,2025-06-20 17:04:48.106,-0.49320554733276367,0.7924807667732239,9.605537414550781,-0.0012217304902151227,-0.0012217304902151227,0.0,2025-06-20 17:04:48.070,7850,-5443,6116,996,9804,-8012,,-0.036
23,2025-06-20 17:04:48.254,2025-06-20 17:04:48.193,-0.4884171485900879,0.7110779285430908,9.617507934570312,-0.0024434609804302454,0.00366519158706069,0.0,2025-06-20 17:04:48.161,8920,-8448,7137,2403,10301,-8787,,-0.032
25,2025-06-20 17:04:48.352,2025-06-20 17:04:48.300,-0.44532153010368347,0.6919242739677429,9.624691009521484,0.0,-0.0024434609804302454,0.0,2025-06-20 17:04:48.255,3320,-3394,7812,2142,684,4224,,-0.045
27,2025-06-20 17:04:48.455,2025-06-20 17:04:48.396,-0.4596867263317108,0.6871358752250671,9.648633003234863,0.0,0.00366519158706069,0.0,2025-06-20 17:04:48.357,1533,-2904,8791,13229,8724,10510,,-0.039
29,2025-06-20 17:04:48.559,2025-06-20 17:04:48.496,-0.45250412821769714,0.6871358752250671,9.672574996948242,0.0,-0.010995574295520782,-0.0012217304902151227,2025-06-20 17:04:48.430,1569,210,8015,3681,-2386,9843,,-0.066
31,2025-06-20 17:04:48.642,2025-06-20 17:04:48.591,-0.47405192255973816,0.7422025203704834,9.643844604492188,-0.0012217304902151227,-0.006108652334660292,0.0,2025-06-20 17:04:48.591,-390,-3146,2305,-6031,-4977,-12468,,0.0
33,2025-06-20 17:04:48.753,2025-06-20 17:04:48.701,-0.40462008118629456,0.7374141216278076,9.62947940826416,0.0,0.0024434609804302454,0.0,2025-06-20 17:04:48.681,1492,-5234,6999,-192,635,-71,,-0.02
35,2025-06-20 17:04:48.870,2025-06-20 17:04:48.792,-0.47644615173339844,0.6631938815116882,9.658209800720215,-0.0024434609804302454,-0.0012217304902151227,0.0,2025-06-20 17:04:48.791,1227,-5098,6811,-427,3667,3037,,-0.001
37,2025-06-20 17:04:48.942,2025-06-20 17:04:48.898,-0.5219359993934631,0.7589619159698486,9.57441234588623,-0.0024434609804302454,-0.004886921960860491,0.0,2025-06-20 17:04:48.877,-510,-5333,7244,9,182,365,,-0.021
39,2025-06-20 17:04:49.052,2025-06-20 17:04:49.004,-0.5219359993934631,0.7589619159698486,9.57441234588623,-0.0024434609804302454,-0.004886921960860491,0.0,2025-06-20 17:04:48.970,319,-5271,7202,-9,-3795,-3517,,-0.034
41,2025-06-20 17:04:49.167,2025-06-20 17:04:49.092,-0.38307225704193115,0.7110779285430908,9.658209800720215,0.0,-0.0024434609804302454,-0.0012217304902151227,2025-06-20 17:04:49.057,1542,-5064,6788,89,-647,-896,,-0.035
43,2025-06-20 17:04:49.246,2025-06-20 17:04:49.201,-0.45250412821769714,0.7206547260284424,9.648633003234863,-0.0024434609804302454,0.010995574295520782,0.0012217304902151227,2025-06-20 17:04:49.167,510,-5488,6906,-188,3420,3109,,-0.034
45,2025-06-20 17:04:49.342,2025-06-20 17:04:49.292,-0.4405331015586853,0.7398083209991455,9.636661529541016,-0.00366519158706069,-0.010995574295520782,-0.0012217304902151227,2025-06-20 17:04:49.252,-215,-5312,7218,-272,1795,1620,,-0.04
47,2025-06-20 17:04:49.468,2025-06-20 17:04:49.391,-0.4836287498474121,0.6631938815116882,9.66539192199707,0.0012217304902151227,0.00855211354792118,0.0,2025-06-20 17:04:49.341,-280,-5306,7222,120,-2647,-2226,,-0.05
