id,ActualTime,WatchTimeStamp,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Esense TimeStamp,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense
7074,10:45.4,2025-06-23T13:10:45.364917,0.998382092,-0.603338838,9.691728592,0.00122173,-0.014660766,-0.00122173,2025-06-23T13:10:45.412,1230,-5356,6939,76,53,-276
7075,10:45.5,2025-06-23T13:10:45.567044,1.010353088,-0.588973641,9.665391922,0.00122173,-0.002443461,0.002443461,2025-06-23T13:10:45.520,1218,-5633,6951,64,99,27
7076,10:45.6,2025-06-23T13:10:45.664197,1.010353088,-0.588973641,9.665391922,0.00122173,-0.002443461,0.002443461,2025-06-23T13:10:45.590,1241,-5361,6933,73,68,-263
7077,10:45.7,2025-06-23T13:10:45.664197,1.010353088,-0.588973641,9.665391922,0.00122173,-0.002443461,0.002443461,2025-06-23T13:10:45.708,1227,-5359,6948,76,112,37
7078,10:45.8,2025-06-23T13:10:45.769467,0.981622696,-0.67037648,9.603142738,0.018325957,0.00122173,0.003665192,2025-06-23T13:10:45.771,1229,-5365,6945,67,102,29
7079,10:45.9,2025-06-23T13:10:45.864561,0.981622696,-0.67037648,9.603142738,0.018325957,0.00122173,0.003665192,2025-06-23T13:10:45.883,1210,-5360,6955,72,-122,60
7080,10:46.0,2025-06-23T13:10:45.969372,0.948103845,-0.687135875,9.682151794,-0.006108652,0.068416908,0.006108652,2025-06-23T13:10:45.969,1234,-5364,6953,61,-35,-111
7081,10:46.1,2025-06-23T13:10:46.065936,1.029506683,-0.629675031,9.605537415,0.010995574,0.015882496,0.00122173,2025-06-23T13:10:46.143,1237,-5364,6944,78,50,-281
7082,10:46.2,2025-06-23T13:10:46.264311,1.012747288,-0.636857629,9.634267807,-0.003665192,-0.020769419,-0.003665192,2025-06-23T13:10:46.227,1247,-5369,6945,60,-75,109
7083,10:46.3,2025-06-23T13:10:46.264311,1.012747288,-0.636857629,9.634267807,-0.003665192,-0.020769419,-0.003665192,2025-06-23T13:10:46.309,1233,-5358,6929,76,104,32
7084,10:46.4,2025-06-23T13:10:46.366190,0.984016895,-0.600944638,9.698910713,-0.007330383,0.009773844,-0.00122173,2025-06-23T13:10:46.405,1220,-5368,6950,62,-102,77
7085,10:46.5,2025-06-23T13:10:46.563107,0.955286503,-0.660799682,9.689333916,-0.003665192,0.019547688,0.002443461,2025-06-23T13:10:46.491,1224,-5352,6946,69,-70,108
7086,10:46.6,2025-06-23T13:10:46.663167,1.036689281,-0.574608386,9.691728592,0.012217305,0.048869219,0.007330383,2025-06-23T13:10:46.579,1235,-5361,6937,63,-91,88
7087,10:46.7,2025-06-23T13:10:46.763150,1.022324085,-0.677559078,9.718064308,0.021991149,-0.003665192,0,2025-06-23T13:10:46.671,1250,-5353,6945,65,86,13
7088,10:46.8,2025-06-23T13:10:46.864920,0.984016895,-0.739808321,9.710882187,-0.004886922,-0.034208454,-0.004886922,2025-06-23T13:10:46.776,1216,-5359,6944,67,-120,63
7089,10:46.9,2025-06-23T13:10:46.969565,1.00556469,-0.610521436,9.679757118,-0.029321533,-0.083077677,-0.015882496,2025-06-23T13:10:46.851,1235,-5369,6952,56,54,-272
7090,10:47.0,2025-06-23T13:10:46.969565,1.00556469,-0.610521436,9.679757118,-0.029321533,-0.083077677,-0.015882496,2025-06-23T13:10:46.946,1213,-5370,6936,55,319,-16
7091,10:47.1,2025-06-23T13:10:47.062625,1.113303781,-0.720654726,9.674968719,0.009773844,0.096516706,0,2025-06-23T13:10:47.130,1188,-5636,6950,61,-64,115
7092,10:47.2,2025-06-23T13:10:47.263120,0.878672004,-0.636857629,9.713275909,0.008552114,0.062308256,0.012217305,2025-06-23T13:10:47.207,1189,-5371,6945,77,66,-266
7093,10:47.3,2025-06-23T13:10:47.363032,0.940921247,-0.624886632,9.670180321,0.012217305,0.041538838,0.003665192,2025-06-23T13:10:47.306,1250,-5364,6930,82,-293,-367
7094,10:47.4,2025-06-23T13:10:47.363032,0.940921247,-0.624886632,9.670180321,0.012217305,0.041538838,0.003665192,2025-06-23T13:10:47.402,1197,-5369,6953,54,-28,-103
7095,10:47.6,2025-06-23T13:10:47.562928,1.065419793,-0.584185243,9.545681953,-0.058643065,-0.135612085,-0.02687807,2025-06-23T13:10:47.494,1259,-5361,6952,65,-87,95
7096,10:47.6,2025-06-23T13:10:47.663330,1.223437071,-0.696712673,9.514557838,0.00122173,-0.015882496,-0.007330383,2025-06-23T13:10:47.576,1208,-5638,6956,73,78,4
7097,10:47.7,2025-06-23T13:10:47.768031,1.247379065,-0.746990919,9.502586365,-0.042760566,-0.020769419,-0.00122173,2025-06-23T13:10:47.682,1215,-5363,6942,63,256,-77
7098,10:47.8,2025-06-23T13:10:47.863358,1.247379065,-0.746990919,9.502586365,-0.042760566,-0.020769419,-0.00122173,2025-06-23T13:10:47.757,1250,-5358,6931,60,123,48
7099,10:47.9,2025-06-23T13:10:47.964855,1.036689281,-0.679953277,9.622296333,0.017104227,-0.002443461,-0.002443461,2025-06-23T13:10:47.930,1238,-5360,6928,60,123,52
7100,10:48.0,2025-06-23T13:10:47.964855,1.036689281,-0.679953277,9.622296333,0.017104227,-0.002443461,-0.002443461,2025-06-23T13:10:48.044,1233,-5368,6953,68,87,16
7101,10:48.1,2025-06-23T13:10:48.163117,1.039083481,-0.720654726,9.672574997,-0.002443461,-0.012217305,-0.00122173,2025-06-23T13:10:48.124,1228,-5365,6946,70,-93,88
7102,10:48.2,2025-06-23T13:10:48.263351,1.165976286,-0.624886632,9.603142738,-0.006108652,0.003665192,0.00122173,2025-06-23T13:10:48.225,1225,-5363,6933,58,-121,60
7103,10:48.3,2025-06-23T13:10:48.263351,1.165976286,-0.624886632,9.603142738,-0.006108652,0.003665192,0.00122173,2025-06-23T13:10:48.305,1232,-5363,6929,57,-27,-105
7104,10:48.4,2025-06-23T13:10:48.363091,1.108515382,-0.713472128,9.655815125,0.006108652,0.00122173,-0.00122173,2025-06-23T13:10:48.382,1249,-5369,6936,73,89,15
7105,10:48.5,2025-06-23T13:10:48.463427,1.173158884,-0.74459672,9.605537415,0.007330383,-0.018325957,-0.002443461,2025-06-23T13:10:48.489,1214,-5637,6954,58,-103,78
7106,10:48.6,2025-06-23T13:10:48.563448,1.089361787,-0.720654726,9.679757118,-0.012217305,-0.020769419,-0.002443461,2025-06-23T13:10:48.564,1239,-5354,6926,60,270,-64
7107,10:48.7,2025-06-23T13:10:48.763182,1.103726983,-0.658405483,9.59835434,-0.009773844,-0.010995574,0,2025-06-23T13:10:48.654,1216,-5376,6952,91,-268,-364
7108,10:48.8,2025-06-23T13:10:48.862770,1.108515382,-0.672770679,9.615114212,-0.007330383,-0.012217305,-0.00122173,2025-06-23T13:10:48.830,1240,-5350,6949,82,0,-325
7109,10:48.9,2025-06-23T13:10:48.963010,1.125274777,-0.727837324,9.610325813,0.014660766,0,-0.00122173,2025-06-23T13:10:48.831,1251,-5358,6943,72,89,14
